pickd_name,matched_by,orders,fsm_candidates,fsm_recipient_ids_and_addresses
THE PEDALER'S HORSE,name,2,3,"THE PEDALER'S (6630 50TH AVENUE, SEARS MI 49679) | THE PEDALER'S HORSE (6630 50TH AVENUE, SEARS MI 49679) | 1008502 (5938 US10, EVART MI 49631)"
FULL CIRCLE CYCLE SHOP,name,2,2,"460600 (318 SOUTH CHELON AVENUE, WENATCHEE WA 98801) | FULL CIRCLE CYCLE SHOP (318 SOUTH CHELON AVENUE, WENATCHEE WA 98801)"
"SUGAR BOTTOM BIKES, INC.",name,2,2,"SUGAR BOTTOM BIKES (325 NORTH DUBUQUE STREET, NORTH LIBERTY IA 52317) | 1047500 (325 NORTH DUBUQUE STREET, NORTH LIBERTY IA 52317)"
BERKSHIRE OUTFITTERS,name,2,3,"BIRKSHIRE OUTFITTERS (169 1/2 GROVE STREET, ADAMS MA 01220) | 161200 (169 1/2 GROVE STREET, ADAMS MA 01220) | BERKSHIRE OUTFITTERS (169 1/2 GROVE STREET, ADAMS MA 01220)"
FAT TIRE CYCLES,name,2,7,"FAT TIRE CYCLES   (12501 candelaria rd ne suite j, ALBUQUERQUE NM 87112) | FAT  (421 MONTANO ROAD N.E., ALBUQUERQUE NM 87107) | FAT TIRE CYCLES INC (12501 CANDELERIA RD NE, ALBUQUERQUE NM 87112) | FAT TIRE CYCLES ALBUQUERQ (10701 CORRALES ROAD, ALBUQUERQUE NM 87114) | 488000 (421 MONTANO NE, ALBUQUERQUE NM 87107) | 451800 (421 Montano Road, Albuquerque NM 87107)"
FALLS WHEEL & WRENCH BIKE SHOP,name,2,2,"611500 (2445 STATE ROAD, CUYAHOGA OH 44223) | FALLS WHEEL (2445 STATE ROAD, CUYAHOGA FALLS OH 44223)"
DANNY'S CYCLE,name,2,5,"DANNY'S CYCLE (113 WOLF'S LANE, PELHAM NY 10803) | DANNYS CYCLE (396 MAIN STREET, NEW ROCHELLE NY 10801) | DANNYYS CYCLE -NY (644 CENTRAL PARK AVENUE, SCARSDALE NY 10583) | DANNY'S BICYCLE (1950 BOSTON POST ROAD, DARIEN CT 06820) | DANNY C (1922 E MAIN STREET, MOHEGAN LAKE NY 10547)"
50 south SURF SHOP INC,name,1,3,"50 SOUTH (306 S. TOPSAIL DR., SURF CITY NC 28445) | 227400 (306 S. TOPSAIL DR, SURF CITY NC 28445) | 50 SOUTH SURF SHOP (306 S. TOPSAIL DR, SURF CITY NC 28445)"
western bike & auto,name,1,3,"WESTERN BIKE (2286 tamaimi trail e, NAPLES FL 34112) | 1174800 (2286 TAMAIMI TRAIL E, NAPLES FL 34112) | WESTERN (2286 TAMAIMI TRAIL E., NAPLES FL 34112)"
brigham young university Idaho,address,1,3,"183300 (525 SOUTH CENTER STREET, REXBURG ID 83440) | BRIGHAM YOUNG UNIV IDAHO (525 SOUTH CENTER STREET, REXBURG ID 83440) | BIRIGHAM (525 South Center Street, REXBURG ID 83440)"
KOZY'S CYCLERY - KOZY INC.,zip+token,1,3,"757500 (3255 NORTH MILWAUKEE AVENUE, CHICAGO IL 60618) | KOZY'S 3255 (3255 N. MILWAUKEE AVE, CHICAGO IL 60618) | MARIANO'S (3350N. WESTERN AVENUE, CHICAGO IL 60618)"
County Line Bicycle Shop,name,1,2,"COUNTY LINE BICYCLE SHOP (5305 S. 1200 W, MILLERSBURG IN 46543) | 875500 (5305 S.1200 W, MILLERSBURG IN 46543)"
ALLJOY BIKE & BEACH RENTAL CO,name,1,3,"112500 (64 BURNT CHURCH ROAD, BLUFFTON SC 29910) | ALLJOY BIKE & BEACH RENTA (64  BURNT CHURCH ROAD, BLUFFTON SC 29910) | ALLJOY BIKE (64 BURNT CHURCH ROAD, BLUFFTON SC 29910)"
Miami Beach,address,1,2,"867200 (746-5TH STREET, MIAMI BEACH FL 33139) | MIAMI BEACH BICYCLE CENTE (746-5TH STREET, MIAMI BEACH FL 33139)"
love and bicycles llc,name,1,2,"LOVE AND BICYCLES (340 IRON STREET, NEGAUNEE MI 49866) | 688000 (340 IRON STREET, NEGAUNEE MI 49866)"
"CRANKY'S, LLC",name,1,3,"CRANKY'S, LLC (316 SOUTH COUNTY HWY 83, SANTA ROSA BEACH FL 32459) | CRANKY'S FL (184 E. MITCHELL AVENUE, SANTA ROSA BEACH FL 32459) | CRANKY'S (1014 STATE ST., SANTA BARBARA CA 93101)"
RIVERSIDE ADVENTURE COMPANY,name,1,2,"766500 (10 MARINA WYND, BALD HEAD ISL NC 28461) | RIVERSIDE ADVENTURE (10 MARINA WYND, BALD HEAD ISL NC 28461)"
GREEN MOUNTAIN BIKES,name,1,3,"495201 (105 N. MAIN STREET, ROCHESTER VT 05767) | GREEN MOUNTAIN BIKES (105 N. MAIN STREET, ROCHESTER VT 05767) | GREEN RT. 100 (RT. 100, ROCHESTER VT 05767)"
TOMICHI CYCLES INC.,name,1,2,"TOMICHI CYCLES INC (104 NORTH MAIN STREET, GUNNISON CO 81230) | 1055200 (104 NORTH MAIN STREET, GUNNSION CO 81230)"
E.J.W. OUTDOOR INC,name,1,4,"E.J.W. (4060 ARENDELL STREET, MOREHEAD CITY NC 28557) | 4473 (4060 ARENDELL STREET, MOREHEAD CITY NC 28557) | 447300 (4060 ARENDELL STREET, MOOREHEAD CITY NC 28557) | EJW 4060 (4060 ARENDELL STREET, MOREHEAD CITY NC 28557)"
PARADISE BICYCLES,name,1,3,"PARADISE BICYCLES (954 NE PINE ISLAND ROAD, CAPE CORAL FL 33909) | 797500 (954 PINE ISLAND ROAD EAST - SUITE E, CAPE CORAL FL 33909) | 7975 (1712 DEL PRADO BLVD, CAPE CORAL FL 33909)"
WEST GEORGIA CYCLING,name,1,2,"WEST GEORGIA CYCLING (150 MAPLE CROSSING, CARROLLTON GA 30117) | 996500 (150 MAPLE CROSSING - STE 117, CARROLLTON GA 30117)"
THE BIKE GALLERY,name,1,2,"899500 (2500 PARK ROAD, CHARLOTTE NC 28203) | THE BIKE GALLERY (2500 PARK ROAD, CHARLOTTE NC 28203)"
BLUE RUN BICYCLES & PADDLE CO,address,1,2,"BLUE RUN (20312 PENNSYLVANIA AVENUE, DUNNELLON FL 34432) | BLU RUN BICYCLE & PADDLE  (20312 E PENNSYLVANIA AVE, DUNNELLON FL 34432)"
CHELSEA BICYCLES CORP,name,1,3,"43800 (586 32ND STREET, UNION CITY NJ 07087) | CHELSEA (130 W. 26TH STREET, NEW YORK NY 10001) | CHELSEA BICYCLES (586 32nd STREET, UNION CITY NJ 07087)"
ATKINS' VERONA BICYCLE SHOPPE,name,1,2,"149500 (517 HALF MILE ROAD, VERONA WI 53593) | ATKINS VERONA (517 HALF MILE ROAD, VERONA WI 53593)"
POINT AREA BICYCLE SERVICE,name,1,3,"POINT AREA (1311 STRONGS AVENUE, STEVENS POINT WI 54481) | 859200 (1311 STRONGS AVENUE, STEVENS POINT WI 54481) | POINT AREA BICYCLE SERVIC (1311 STRONGS AVENUE, STEVENS POINT WI 54481)"
MCCULLY BICYCLE&SPORTING GOODS,name,1,2,"MCCULLY (2124 S KING STREET, HONOLULU HI 96826) | 889200 (2124 S. KING STREET, HONOLULU HI 96826)"
DOYLESTOWN BIKE WORKS,name,1,2,"DOYLESTOWN BIKE WORKS (139 SOUTH MAIN STREET, DOYLESTOWN PA 18901) | DOYLESTOWN (139 SOUTH MAIN STREET, DOYLESTOWN PA 18901)"
PEDALS BIKE RENTAL,name,1,3,"887900 (71 POPE AVENUE STE A, HILTON HEAD ISL SC 29928) | PEDAL BIKE RENTAL  (71 POPE AVENUE, HILTON HEAD ISLAND SC 29928) | PEDALS BIKE RENTAL (71 POPE AVENUE, HILTON HEAD ISLAND SC 29928)"
CAROLINA PEDAL WORKS,name,1,2,"CAROLINA PEDAL WORKS (E83 HIGHLAND AVE SE, HICKORY NC 28602) | CAROLINA PEDAL  (883 HIGHLAND AVENUE SE, HICKORY NC 28602)"
WRENCH & ROLL,name,1,2,"738800 (1200 CALEDONIA ST, LA CROSSE WI 54603) | 7885 (1200 CALEDONIA ST, LA CROSSE WI 54603)"
LANDRY'S BICYCLES,name,1,3,"702908 (78 TURNPIKE ROAD, WESTBORO MA 01581) | LANDRY (790 WORCESTER STREET, NATICK MA 01760) | 702900 (790 WORCHESTER STREET, NATICK MA 01760)"
SIERRA CYCLEWORKS,name,1,3,"965600 (3430 LAKE TAHOE BLVD, SOUTH LAKE TAHOE CA 96150) | SIERRA CYCLEWORKS (3430 LAKE TAHOE BLVD., SOUTH LAKE TAHOE CA 96150) | SIERRA (3430 LAKE TAHOE BLVD, SOUTH LAKE TAHOE CA 96150)"
S&H BICYCLE STORE,name,1,3,"S&H (3595 HIGHWAY 20, SLOANSVILLE NY 12160) | 949900 (3595 HIGHWAY 20, SLOANSVILLE NY 12160) | S&H BICYCLE STORE  (3595 HIGHWAY 20, SLOANSVILLE NY 12160)"
CYCLE MASTERS,name,1,2,"CYCLE MASTERS (433 E MAIN STREET, TURLOCK CA 95380) | 748700 (433 E. MAIN STREET, TURLOCK CA 95380)"
LOCAL MOTION LLC,name,1,2,"LOCAL  (1 STEELE STREET, BURLINGTON VT 05401) | LOCAL MOTION (1 STEELE STREET #103, BURLINGTON VT 05401)"
GORGES CYCLES,name,1,4,"GORGES CYCLES 2255 (2255 N TRIPHAMMER ROAD, ITHACA NY 14850) | 487500 (38 FOREST ACRES DR, ITHACA NY 14850) | GORGES CYCLES (2255 N TRIPHAMMER RD, ITHACA NY 14850) | 487501 (2255 N TRIPHAMMER, ITHACA NY 14850)"
NORFORK ADVENTURE SUPPLY,name,1,4,"NORFORK ADVENTURE SUPPLY  (13912 HWY 5 SOUTH, NORFORK AR 72658) | 770100 (13912 HWY 5 SOUTH, NORFORK AR 72658) | NORFOR (13912 HWY 5 SOUTH, NORFORK AR 72658) | 770101 (13912 HWY 5 SOUTH, NORFORK AR 72658)"
SAYVILLE BIKE WORKS INC,name,1,2,"1057100 (75 MAIN STREET, WEST SAYVILLE NY 11796) | SAYVILLE (75 MAIN STREET, WEST SAYVILLE NY 11796)"
LA DOLCE VITA LLC,name,1,2,"LA DOLCE LLC (36204 EMERALD COAST PARKWAY, DESTIN FL 32541) | LA DOLCE VITA LLC (15400 EMERALD COAST 6 PKWY, DESTIN FL 32541)"
BARNARD'S SCHWINN LTD,name,1,2,"69800 (6109 W. NORTH AVE, OAK PARK IL 60302) | BARNARD'S SCHWINN LTD (6109 W. North Ave., Oak Park IL 60302)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
SPORTS BASEMENT,name,1,13,"SPORTS BASE 100 (100 VINTAGE WAY, NOVATO CA 94945) | 1001211 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT 202 (202 WALNUT STREET, REDWOOD CITY CA 94063) | SPORTS BASEMENT CAMPBELL (1875 S. BASCOM AVE, CAMPBELL CA 95008) | SPORTS BASEMENT SUNNY (1177 KERN AVENUE, SUNNYVALE CA 94085) | SPORTS BASEMENT  (1881 YGNACIO VALLEY ROAD, WALNUT CREEK CA 94598)"
JAMIS CONSUMER ALL ACCESS,address,1,2,"RACELINE CYCLE WORKS (1922 NEW YORK AVENUE, HUNTINGTON STATION NY 11746) | 8540 (1922 NEW YORK AVE, HUNTINGTON STATION NY 11746)"
ISLAND LIFE BIKE RENTALS,name,1,2,"562500 (119 ARROW ROAD, HILTON HEAD SC 29926) | ISLAND LIFE BIKE RENTALS (119 ARROW ROAD SUITE E, HILTON HEAD SC 29926)"
JAMIS CONSUMER ALL ACCESS,address,1,3,"COMET TRAIL CYCLES (4342 FLOYD RD, MABLETON GA 30126) | COMET (4342 FLOYD ROAD, MABLETON GA 30126) | 768100 (4342 FLOYD ROAD, MABLETON GA 30126)"
WANA BIKE,name,1,3,"WANNA (200 WEST MAIN STREET, WAUNAKEE WI 53597) | 771300 (200 W. MAIN STREET, WAUNAKEE WI 53597) | WANA BIKE (200 W. MAIN STREET, WAUNAKEE WI 53597)"
MERIDIAN CYCLES,name,1,5,"975600 (1203 NORTH  MAIN STREET, MERIDIAN ID 83642) | MERIDIAN CY (830 n. main street, MERIDIAN ID 83642) | MERIDIAN (1203 N. MAIN STREET, MERIDIAN ID 83642) | PROSP (830 E.Main Street, Meridian ID 83642) | MERIDIAN CYCLES (1203 N MAIN STREET, MERIDIAN ID 83642)"
JAMIS CONSUMER ALL ACCESS,address,1,4,"761300 (65 UNIVERSITY DRIVE, AMHERST MA 01002) | HAMPSHIRE BICYCLE  (65 UNIVERSITY DRIVE, AMHERST MA 01002) | HAMPSHIRE BICYCLE EXCHANG (65 UNIVERSITY DRIVE, AMHERST MA 01002) | HAMPSHIRE (65 UNIVERSITY DRIVE, AMHERST MA 01002)"
DOWNTOWN BICYCLES,name,1,2,"DOWNTOWN BICYCLES (2571 E. SUNRISE BLVD., FORT LAUDERDALE FL 33304) | DOWNTOWN BICYCLES OAKLAND (518 E OAKLAND PARK BLVD, OAKLAND PARK FL 33334)"
NOW BIKES AND FITNESS,name,1,4,"NOW BIKES & FITNESS (1201 COUNTY ROAD E, ARDEN HILLS MN 55112) | NOW BIKES AND FITNESS (1201 COUNTY ROAD E., ARDEN HILLS MN 55112) | 533100 (1201 Country Road E, Suite 100, Arden Hills MN 55112) | NOW BIKES 75 (75 SNEILING AVE NORTH, ST. PAUL MN 55104)"
SCOTTEE'S WESTPORT BICYCLE,name,1,2,"938500 (1125 STATE ROAD, WESTPORT MA 02790) | SCOTTEE'S WESTPORT BICYCL (1125 STATE ROAD, WESTPORT MA 02790)"
MANASQUAN BIKE SHOP,name,1,5,"678000 (128 Main Street, Manasquan NJ 08736) | 0678000 (128 MAIN STREET, MANASQUAN NJ 08736) | MANASQUAN BIKE SHOP (128 MAIN ST, MANASQUAN NJ 08736) | MANASQ 128 (128 MAIN STREET, MANASQUAN NJ 08736) | MANASQUAN (128 MAIN STREET, MANASQUAN NJ 08736)"
GORGES CYCLES,name,1,4,"GORGES CYCLES 2255 (2255 N TRIPHAMMER ROAD, ITHACA NY 14850) | 487500 (38 FOREST ACRES DR, ITHACA NY 14850) | GORGES CYCLES (2255 N TRIPHAMMER RD, ITHACA NY 14850) | 487501 (2255 N TRIPHAMMER, ITHACA NY 14850)"
BRIELLE CYCLERY INC,name,1,2,"BRIELLE CYCLERY (205 UNION AVENUE, BRIELLE NJ 08730) | 205300 (205 UNION AVENUE, BRIELLE NJ 08730)"
WINTER GARDEN WHEEL WORKS,name,1,3,"1112100 (101 W PLANT STREET, WINTER GARDEN FL 34787) | WINTER GARDEN (101 W PLANT STREET, WINTER GARDEN FL 34787) | WINTER GARDEN WHEEL WORKS (101 W. PLANT STREET, WINTER GARDEN FL 34787)"
THE CYKEL SHOP,name,1,2,"THE CYKEL SHOP (109 WEST CHICAGO STREET, COLDWATER MI 49036) | 835000 (109 WEST CHICAGO ST, COLDWATER MI 49036)"
KOZY'S CYCLERY,name,1,9,"KOZY CHICAGO (219 WEST ERIE, CHICAGO IL 60654) | 757502 (219 WEST ERIE, CHICAGO IL 60654) | KOZY'S 2540 (2540 S. WABASH AVENUE, CHICAGO IL 60616) | KOZY'S CYCLERY (811 S.DESPLAINS, CHICAGO IL 60607) | KOZY'S 3255 (3255 N. MILWAUKEE AVE, CHICAGO IL 60618) | CHRIS BALLACK (811 S. Desplains, Chicago IL 60607)"
JAMIS CONSUMER ALL ACCESS,address,1,3,"515001 (3800 WHEELER AVE, ALEXANDRIA VA 22304) | 5150 (3800 WHEELER AVE, ALEXANDRIA VA 22304) | HANDY BIKES (3800 WHEELER AVE, ALEXANDRIA VA 22304)"
INDEPENDENT BICYCLE CO,name,1,2,"55900 (50 WEST BAY AVE, MANAHAWKIN NJ 08050) | INDEPENDENT BICYCLE CO (50 WEST BAY AVE, MANAHAWKIN NJ 08050)"
HERITAGE TRAILS BIKE SHOP,name,1,2,"772700 (6435 SOUTH 600 WEST, POPEKA IN 46571) | HERITAGE TRAILS (5880 W 100 N, LAGRANGE IN 46761)"
HEALTHY HABITS,name,1,3,"HEALTHY HABITS  (3651 DEVILS GLEN ROAD, BETTENDORF IA 52722) | 542400 (3651 DEVILS GLEN ROAD, BETTENDORF IA 52722) | HEALTHY HABITS (3441 DEVILS GLEN ROAD, BETTENDORF IA 52722)"
PRO CYCLES,name,1,3,"PRO CYCLE (2305 NW FEDERAL HIGHWAY, STUART FL 34994) | 999700 (2305 NW FEDERAL HWY, STUART FL 34994) | PRO CYCLES (2305 NW FEDERAL HWY, STUART FL 34994)"
WEST NEWTON BICYCLE SHOP LLC,name,1,2,"WEST NEWTON BICYCLE SHOP (106 WEST MAIN STREET, WEST NEWTON PA 15089) | 1199000 (106 WEST MAN STREET, WEST NEWTON PA 15089)"
TROYERS BICYCLES,name,1,3,"TROYERS (11446 SPRINGBORO ROAD, SPRINGBORO PA 16435) | 1167800 (11446 SPRINGBORO ROAD, SPRINGBORO PA 16435) | TROYERS BICYCLES (11446 SPRINGBORO ROAD, SPRINGBORO PA 16435)"
CELESTIAL CYCLES LLC,name,1,3,"641900 (2929 W. HEFNER ROAD, OKLAHOMA CITY OK 73120) | CELESTIAL (2929 W. HEFNER ROAD, OKLAHOMA CITY OK 73120) | CELESTIAL CYCLES LLC (2929 W HEFNER ROAD, OKLAHOMA CITY OK 73120)"
JAMIS CONSUMER ALL ACCESS,address,1,4,"000855000 (605 GREEN BAY ROAD, WILMETTE IL 60091) | WILMETTE (605 GREEN BAY ROAD, WILMETTE IL 60091) | 855000 (605 GREEN BAY ROAD, WILMETTE IL 60091) | WILMETTE BICYCLE SHOP (605 GREEN BAY ROAD, WILMETTE IL 60091)"
VAIL BIKE TECH,name,1,2,"1078200 (555 EAST LIONHEAD CIRCLE, VAIL CO 81658) | VAIL BIKE TECH (555 E LIONHEAD CIRCLE, VAIL CO 81658)"
MC CYCLE & SPORT,name,1,4,"MC CYCLE (574 MAIN STREET, LACONIA NH 03246) | MC CYCLE & SPORT (574 MAIN STREET, LACONIA NH 03246) | 1083900 (574 MAIN STREET, LACONIA NH 03246) | MC  (574 MAIN STREET, LACONIA NH 03246)"
BIKE TECH,name,1,7,"BIKE TECH 3003 (3003 VINEVILLE AVE, MACON GA 31204) | 000440700 (909 2ND STREET, MACON GA 31201) | BIKE TECH BOOT (909 2ND STREET, MACON GA 31201) | BIKE TECH MACON (909 2ND STREET, MACON GA 31201) | 440700 (909 2ND STREET, MACON GA 31201) | BIKE TECH (CORAL) (2220 SW 22nd Street, MIAMI FL 33145)"
FREEDOM BIKES,name,1,2,"499000 (1201 LOOP 332 - SUITE 300, LIBERTY HILL TX 78642) | FREEDOM BIKES  (15399 W. STATE HIGHWAY 29, LIBERTY HILL TX 78642)"
JAMIS CONSUMER ALL ACCESS,address,1,6,"PEDAL PUSHER PA (3798 WALNUT STREET, HARRISBURG PA 17109) | 838000 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHERS-PA (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER 3798 (3798 WALNUT STREET, HARRISBURG PA 17109) | PEDAL PUSHER (3798 WALNUT STREET, HARRISBURG PA 17109)"
SWITCHING GEARS BICYCLE SHOP,name,1,4,"993500 (604 FORT RALEIGHT DRIVE, VIRGINIA BEACH VA 23451) | 993501 (2248 SEASHORE SHOPPES, VIRGINIA BEACH VA 23451) | SWITCHING GEARS BICYCLE (2248 SEASHORE SHOPPES, VIRGINIA BEACH VA 23451) | SWITCHING GEARS BICYCLE S (2248 SEASHORE SHOPPES, VIRGINIA BEACH VA 23451)"
THE BIKE HUB,name,1,2,"785400 (1025 N. BROADWAY, DE PERE WI 54115) | THE BIKE HUB (1025 N. BROADWAY, DE PERE WI 54115)"
GOOD TIMES CYCLE AND ADVENTURE,name,1,3,"GOOD TIMES (1318 RIVERLAND ROAD, ROANOKE VA 24014) | 499500 (1318 RIVERLAND ROAD, ROANOKE VA 24014) | GOOD TIMES CYCLE AND ADVE (1318 RIVERLAND ROAD, ROANOKE VA 24014)"
ENGINE 9 CYCLES,address,1,3,"475200 (611 NORTH 2ND STREET, PHILADELPHIA PA 19123) | CHRISTINI AWD BIKES (611 N 2ND STREET, PHILADELPHIA PA 19123) | TROPHY (611 N. 2ND STREET, PHILADELPHIA PA 19123)"
"BUENA VISTA CONCESSIONS, INC",name,1,2,"BUENA VISTA (6314 KINGS POINTE PKWY, UNIT 2, ORLANDO FL 32819) | BUENA VISTA 7330 (7330 EXCHANGE DRIVE, ORLANDO FL 32809)"
"SUGAR BOTTOM BIKES, INC.",name,1,2,"SUGAR BOTTOM BIKES (325 NORTH DUBUQUE STREET, NORTH LIBERTY IA 52317) | 1047500 (325 NORTH DUBUQUE STREET, NORTH LIBERTY IA 52317)"
ISLAND BIKE AND SURF SHOP,name,1,6,"579501 (3665 BOHICKET ROAD, JOHNS ISLAND SC 29455) | ISLAND BIKE $ SURF (3665 BOHICKET ROAD, JOHNS ISLAND SC 29455) | ISLAND BIKE AND SURF SHOP (3665 BOHICKET ROAD, JOHNS ISLAND SC 29455) | ISLAND BIKE AND SURF (3665 BETSY KERRISON PKWY, JOHNS ISLAND SC 29455) | 5795 (2665 BETSY KERRISON PKWY, JOHNS ISLAND SC 29455) | 579500 (3665 BOHICKET ROAD, JOHNS ISLAND SC 29455)"
EPIC CYCLES,name,1,8,"575000 (102 SUTTON AVE, BLACK MOUNTAIN NC 28711) | EPIC CYCLES ASHVILLE (1240 BREVARD ROAD, ASHEVILLE NC 28806) | EPIC CYCLES HENDERSONVILL (779 NORTH CHURCH STREET, HENDERSONVILLE NC 28792) | 575002 (1240 BREVARD AVE, ASHEVILLE NC 28806) | EPIC CYCLES   (102 SUTTON AVE, BLACK MOUNTAIN NC 28711) | 575001 (779 NORTH CHURCH STREET, HENDERSONVILLE NC 28792)"
SHEPHERDSTOWN PEDAL & PADDLE,name,1,5,"SHEPHERDSTOWN (115 west german st, SHEPHERDSTOWN WV 25443) | 9550001 (115 WEST GERMAN STREET, SHEPHERDSTOWN WV 25443) | 955000 (115 WEST GERMAN STREET, SHEPHERDSTOWN WV 25443) | SHEPHERDSTOWN PEDAL & PAD (115 WEST GERMAN STREET, SHEPHERDSTOWN WV 25443) | SHEPERDSTOWN PEDAL & PADD (115 WEST GERMAN STREET, SHEPHERDSTOWN WV 25443)"
Wersells bike shop,name,1,3,"1109600 (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606) | WERSELLS BIKE SHOP (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606) | WERSELLS (2860 WEST CENTRAL AVENUE, TOLEDO OH 43606)"
RIDE-A-BIKE BICYCLE SHOP,name,1,3,"000169700 (140 EAST MAIN AVE, GASTONIA NC 28052) | RIDE A BIKE  (140 E MAIN AVE, GASTONIA NC 28052) | 169700 (140 E. MAIN AVENUE, GASTONIA NC 28052)"
